# site_config=multi_site
# min_cost_krw=7033784.18,min_days=1,min_ratio=3.0
flash_days,R=3.0,R=5.0,R=7.5,R=10.0,R=15.0,R=20.0,R=22.0,R=25.0,R=30.0
1,7033784.18,7044907.16,7058810.88,7072714.59,7100522.03,7128329.47,7139452.44,7156136.9,7183944.34
7,7076137.05,7153997.88,7251323.91,7348649.94,7543301.99,7737954.05,7815814.87,7932606.11,8127258.17
14,7125548.73,7281270.38,7475922.43,7670574.49,8059878.61,8449182.72,8604904.37,8838486.84,9227790.95
30,7238489.7,7572178.94,7989290.5,8406402.05,9240625.15,10074848.26,10408537.5,10909071.36,11743294.46
60,7450254.02,8117632.51,8951855.61,9786078.72,11454524.92,13122971.13,13790349.62,14791417.34,16459863.55
90,7662018.36,8663086.08,9914420.74,11165755.39,13668424.71,16171094.02,17172161.74,18673763.33,21176432.64
120,7873782.68,9208539.65,10876985.85,12545432.06,15882324.48,19219216.89,20553973.86,22556109.31,25893001.73
180,8297311.33,10299446.78,12802116.1,15304785.41,20310124.03,25315462.66,27317598.11,30320801.28,35326139.9
270,8932604.31,11935807.49,15689811.45,19443815.42,26951823.36,34459831.29,37463034.47,41967839.23,49475847.17
365,9603191.35,13663077.12,18737934.34,23812791.55,33962505.99,44112220.42,48172106.19,54261934.85,64411649.28
540,10838483.25,16844889.6,24352897.54,31860905.47,46876921.35,61892937.22,67899343.57,76908953.09,91924968.96
730,12179657.32,20299428.86,30449143.3,40598857.73,60898286.59,81197715.46,89317487.0,101497144.32,121796573.18
