# site_config=single_site
# min_cost_krw=1640607.02,min_days=1,min_ratio=3.0
flash_days,R=3.0,R=5.0,R=7.5,R=10.0,R=15.0,R=20.0,R=22.0,R=25.0,R=30.0
1,1640607.02,1651730.0,1665633.72,1679537.43,1707344.87,1735152.31,1746275.28,1762959.74,1790767.18
7,1727348.17,1805209.0,1902535.03,1999861.06,2194513.11,2389165.17,2467025.99,2583817.23,2778469.29
14,1828546.19,1984267.84,2178919.89,2373571.95,2762876.07,3152180.18,3307901.83,3541484.3,3930788.41
30,2059855.93,2393545.17,2810656.73,3227768.28,4061991.38,4896214.49,5229903.73,5730437.59,6564660.69
60,2493561.7,3160940.19,3995163.29,4829386.4,6497832.6,8166278.81,8833657.3,9834725.02,11503171.23
90,2927267.48,3928335.2,5179669.86,6431004.51,8933673.83,11436343.14,12437410.86,13939012.45,16441681.76
120,3360973.26,4695730.23,6364176.43,8032622.64,11369515.06,14706407.47,16041164.44,18043299.89,21380192.31
180,4228384.8,6230520.25,8733189.57,11235858.88,16241197.5,21246536.13,23248671.58,26251874.75,31257213.37
270,5529502.12,8532705.3,12286709.26,16040713.23,23548721.17,31056729.1,34059932.28,38564737.04,46072744.98
365,6902903.74,10962789.51,16037646.73,21112503.94,31262218.38,41411932.81,45471818.58,51561647.24,61711361.67
540,9432854.08,15439260.43,22947268.37,30455276.3,45471292.18,60487308.05,66493714.4,75503323.92,90519339.79
730,12179657.32,20299428.86,30449143.3,40598857.73,60898286.59,81197715.46,89317487.0,101497144.32,121796573.18
