parameter,input,critical_ratio_r,affects_output
색인 DRR,1.0,7.342697,True
색인 DRR,2.0,11.296457,True
색인 DRR,3.0,13.767556,True
색인 DRR,4.0,15.458309,True
색인 DRR,5.0,16.687947,True
색인 DRR,6.0,17.622472,True
복제 구성 (RF/SF/사본),"(1, 1, 1)",11.296457,True
복제 구성 (RF/SF/사본),"(3, 2, 1)",4.589186,True
복제 구성 (RF/SF/사본),"(3, 2, 2)",9.17837,True
복제 구성 (RF/SF/사본),"(3, 3, 1)",3.765485,True
상각기간,4,11.296457,False
상각기간,5,11.296457,False
상각기간,6,11.296457,False
정품 프리미엄,2.8,11.296457,False
정품 프리미엄,3.3,11.296457,False
정품 프리미엄,3.9,11.296457,False
아카이브 기준선 배수,0.5,11.296457,False
아카이브 기준선 배수,1.0,11.296457,False
아카이브 기준선 배수,3.0,11.296457,False
일일 로그량,10,11.296457,False
일일 로그량,100,11.296457,False
일일 로그량,500,11.296457,False
