parameter,input,total_cost_krw,affects_output
상각기간,4,24874821.74,True
상각기간,5,12437410.86,True
상각기간,6,12437410.86,True
정품 프리미엄,2.8,10552954.67,True
정품 프리미엄,3.3,12437410.86,True
정품 프리미엄,3.9,14698758.3,True
색인 DRR,1.0,18366812.0,True
색인 DRR,2.0,12437410.86,True
색인 DRR,3.0,10460943.82,True
색인 DRR,6.0,8484476.77,True
복제 구성 (RF/SF/사본),"(1, 1, 1)",12437410.86,True
복제 구성 (RF/SF/사본),"(3, 2, 1)",28531499.67,True
복제 구성 (RF/SF/사본),"(3, 2, 2)",29957165.57,True
복제 구성 (RF/SF/사본),"(3, 3, 1)",34460900.81,True
아카이브 기준선 배수,0.5,6218705.44,True
아카이브 기준선 배수,1.0,12437410.86,True
아카이브 기준선 배수,3.0,37312232.6,True
